period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
32,13,detrended,0.005862230144320637,0.005862230144320637,0.0030630200151325125,1.3072773221835021,1.3072773221835021,0.6830534633745502,5,sample_ddof1; count=1 written as 0; empty=nan
32,14,detrended,0.005464437504040428,0.005464437504040428,0.0034876705496147496,1.2185695634010154,1.2185695634010154,0.7777505325640891,5,sample_ddof1; count=1 written as 0; empty=nan
32,15,detrended,0.002276500777876124,0.0026040808078293233,0.0022698154999273735,0.5076596734663756,0.5807100201459391,0.5061688564838043,5,sample_ddof1; count=1 written as 0; empty=nan
32,16,detrended,0.004661803974235318,0.004661803974235318,0.002289902656670233,1.0395822862544761,1.0395822862544761,0.5106482924374619,5,sample_ddof1; count=1 written as 0; empty=nan
32,17,detrended,0.0036701344952710267,0.0036701344952710267,0.0023013226013097222,0.8184399924454391,0.8184399924454391,0.513194940092068,5,sample_ddof1; count=1 written as 0; empty=nan
32,18,detrended,0.004217900999010898,0.004217900999010898,0.002393692686499313,0.9405919227794304,0.9405919227794304,0.5337934690893468,5,sample_ddof1; count=1 written as 0; empty=nan
32,19,detrended,0.002629913871158972,0.0029187654779164645,0.0025986360211484043,0.5864707932684506,0.6508847015753716,0.5794958327160942,5,sample_ddof1; count=1 written as 0; empty=nan
32,20,detrended,0.0011137950437449743,0.00263159949151734,0.0029568972044014077,0.24837629475512926,0.5868466866083667,0.6593880765815139,5,sample_ddof1; count=1 written as 0; empty=nan
32,21,detrended,-0.0011965139520497621,0.0024562212010479038,0.002944612443002072,-0.26682261130709695,0.5477373278336826,0.656648574789462,5,sample_ddof1; count=1 written as 0; empty=nan
32,22,detrended,-0.0023797646802511145,0.002822290399184604,0.002922667709323111,-0.5306875236959985,0.6293707590181666,0.6517548991790538,5,sample_ddof1; count=1 written as 0; empty=nan
32,23,detrended,-0.0021050708960852174,0.0026476632041550372,0.002473083136534479,-0.4694308098270034,0.5904288945265732,0.5514975394471888,5,sample_ddof1; count=1 written as 0; empty=nan
32,24,detrended,-0.001150210628993906,0.002653397763012393,0.0029598790323109706,-0.2564969702656411,0.5917077011517636,0.6600530242053465,5,sample_ddof1; count=1 written as 0; empty=nan
32,25,detrended,-0.0030184111128638983,0.003490657091964125,0.003522777990513982,-0.6731056781686492,0.7784165315079999,0.785579491884618,5,sample_ddof1; count=1 written as 0; empty=nan
32,26,detrended,-0.0035658978382652625,0.00403923892559147,0.0039329644326468035,-0.7951952179331535,0.9007502804068979,0.8770510684802373,5,sample_ddof1; count=1 written as 0; empty=nan
32,27,detrended,-0.003923084814292236,0.004834426984773329,0.004747761037506452,-0.8748479135871687,1.0780772176044522,1.0587507113639385,5,sample_ddof1; count=1 written as 0; empty=nan
32,28,detrended,-0.004026999733739623,0.004680542206125599,0.00451101248568694,-0.8980209406239357,1.0437609119660085,1.0059557843081877,5,sample_ddof1; count=1 written as 0; empty=nan
32,29,detrended,-0.005849537099247187,0.005849537099247187,0.00434085475330451,-1.3044467731321228,1.3044467731321228,0.9680106099869058,5,sample_ddof1; count=1 written as 0; empty=nan
32,30,detrended,-0.004901596931414299,0.004901596931414299,0.004425341762022047,-1.0930561157053886,1.0930561157053886,0.9868512129309164,5,sample_ddof1; count=1 written as 0; empty=nan
32,31,detrended,-0.00370997509434618,0.004509698932041535,0.004808799095227218,-0.8273244460391982,1.005662861845262,1.07236219823567,5,sample_ddof1; count=1 written as 0; empty=nan
